"geoid","psps_event_id","total_customers_impacted","outage_start","outage_end","duration","pop","pct_cust_out","hybrid"
"06001400100","PG&E_2019/10/09",607.577786427935,2019-10-09 00:09:00,2019-10-12 17:41:00,89.5333333333333,3647.47194113908,0.16657504053018,101.20729439947
"06001400100","PG&E_2019/10/26",1426.3563489938,2019-10-26 16:00:00,2019-11-02 14:25:00,166.416666666667,3647.47194113908,0.391053412339165,557.781517485656
"06001400100","PG&E_2020/10/14",333.940826753935,2020-10-14 10:30:00,2020-10-17 10:57:00,72.45,3647.47194113908,0.0915540495287941,30.5736349923162
"06001400100","PG&E_2020/10/25",590.379280139448,2020-10-25 10:00:00,2020-10-28 22:25:00,84.4166666666667,3647.47194113908,0.161859855172752,95.5587047803646
"06001400200","PG&E_2019/10/26",454.696146430859,2019-10-26 16:00:00,2019-11-02 14:25:00,166.416666666667,2770.55647039413,0.164117263549649,74.6234872988029
"06001400200","PG&E_2020/10/25",44.41969587541,2020-10-25 10:00:00,2020-10-28 22:25:00,84.4166666666667,2770.55647039413,0.0160327704380236,0.712170786897271
"06001400300","PG&E_2019/10/26",382.918797631968,2019-10-26 16:00:00,2019-11-02 14:25:00,166.416666666667,6276.5472759828,0.061007872767438,23.3610612861915
"06001400300","PG&E_2020/10/25",122.618566760301,2020-10-25 10:00:00,2020-10-28 22:25:00,84.4166666666667,6276.5472759828,0.0195359903094335,2.39547513198586
"06001400400","PG&E_2019/10/26",79.1158932519429,2019-10-26 16:00:00,2019-11-02 14:25:00,166.416666666667,5126.95388627052,0.0154313643163063,1.22086617198073
"06001400400","PG&E_2020/10/25",68.6306543872276,2020-10-25 10:00:00,2020-10-28 22:25:00,84.4166666666667,5126.95388627052,0.0133862437442657,0.918706667955887
"06001400500","PG&E_2019/10/26",1.7026965211735,2019-10-26 16:00:00,2019-11-02 14:25:00,166.416666666667,3935.73357009888,0.000432624945476359,0.000736628989635472
"06001400500","PG&E_2020/10/25",1.47703794607822,2020-10-25 10:00:00,2020-10-28 22:25:00,84.4166666666667,3935.73357009888,0.00037528910932889,0.000554316255228667
"06001400600","PG&E_2019/10/26",0.857031916386089,2019-10-26 16:00:00,2019-11-02 14:25:00,166.416666666667,2183.41689014435,0.000392518680355829,0.000336401036842695
"06001400600","PG&E_2020/10/25",0.743449373250583,2020-10-25 10:00:00,2020-10-28 22:25:00,84.4166666666667,2183.41689014435,0.000340498132356864,0.000253143123093705
"06001401100","PG&E_2019/10/26",0.606581174190467,2019-10-26 16:00:00,2019-11-02 14:25:00,166.416666666667,5796.60749638081,0.000104644168950407,6.34751828741232e-05
"06001401100","PG&E_2020/10/25",0.450520932058314,2020-10-25 10:00:00,2020-10-28 22:25:00,84.4166666666667,5796.60749638081,7.77214831847081e-05,3.50151550453292e-05
"06001401200","PG&E_2019/10/26",0.0936280553073323,2019-10-26 16:00:00,2019-11-02 14:25:00,166.416666666667,4585.35548686981,2.04189305661113e-05,1.91178476036045e-06
"06001403401","PG&E_2019/10/26",0.882795936148069,2019-10-26 16:00:00,2019-11-02 14:25:00,166.416666666667,5253.85081416741,0.000168028360030236,0.000148334753392317
"06001403501","PG&E_2019/10/26",0.0853314717318362,2019-10-26 16:00:00,2019-11-02 14:25:00,166.416666666667,7469.43121549487,1.14240923130561e-05,9.74834610273434e-07
"06001403502","PG&E_2019/10/26",0.624089360897489,2019-10-26 16:00:00,2019-11-02 14:25:00,166.416666666667,3857.2323679924,0.000161797190668685,0.000100975905319429
"06001403600","PG&E_2019/10/26",3.23989223277472,2019-10-26 16:00:00,2019-11-02 14:25:00,166.416666666667,6982.83744692802,0.00046397932894744,0.00150324302402484
"06001403701","PG&E_2019/10/26",2.07157243776657,2019-10-26 16:00:00,2019-11-02 14:25:00,166.416666666667,3530.48210823536,0.00058676757855091,0.0012155315431011
"06001403702","PG&E_2019/10/26",2.14250210063107,2019-10-26 16:00:00,2019-11-02 14:25:00,166.416666666667,2777.20140504837,0.000771460829861473,0.00165285644853279
"06001403800","PG&E_2019/10/09",0.00148492165833293,2019-10-09 00:09:00,2019-10-12 17:41:00,89.5333333333333,4774.36831843853,3.11019502328337e-07,4.61839595171277e-10
"06001403800","PG&E_2019/10/26",0.935842920598304,2019-10-26 16:00:00,2019-11-02 14:25:00,166.416666666667,4774.36831843853,0.000196013976756694,0.000183438292486072
"06001403900","PG&E_2019/10/26",0.547943316689175,2019-10-26 16:00:00,2019-11-02 14:25:00,166.416666666667,4654.14015698433,0.000117732448574178,6.45107083536729e-05
"06001404101","PG&E_2019/10/26",0.000285026332811894,2019-10-26 16:00:00,2019-11-02 14:25:00,166.416666666667,4196.23839851469,6.79242468475535e-08,1.9360198987968e-11
"06001404200","PG&E_2019/10/09",0.436760717968765,2019-10-09 00:09:00,2019-10-12 17:41:00,89.5333333333333,4909.52894704964,8.89618378217803e-05,3.88550361588616e-05
"06001404200","PG&E_2019/10/26",1133.91642117947,2019-10-26 16:00:00,2019-11-02 14:25:00,166.416666666667,4909.52894704964,0.230962365923291,261.89201939488
"06001404200","PG&E_2020/10/25",161.198094142863,2020-10-25 10:00:00,2020-10-28 22:25:00,84.4166666666667,4909.52894704964,0.0328337190556202,5.29273293538817
"06001404300","PG&E_2019/10/09",27.9871399558867,2019-10-09 00:09:00,2019-10-12 17:41:00,89.5333333333333,4288.02747160429,0.00652680985399931,0.182666740849339
"06001404300","PG&E_2019/10/26",1343.74108795089,2019-10-26 16:00:00,2019-11-02 14:25:00,166.416666666667,4288.02747160429,0.313370447565755,421.088746143664
