"zcta","psps_event_id","total_customers_impacted","outage_start","outage_end","duration","pop","pct_cust_out","hybrid"
"90265","SCE_2019/10/27",2273,2019-10-27 03:57:00,2019-11-03 17:28:00,182.516666666667,14015.2411020604,0.16218058493948,368.636469567437
"90265","SCE_2020/11/29",455,2020-12-02 17:20:50,2020-12-04 18:30:00,49.1527777777778,14015.2411020604,0.0324646573460023,14.7714190924311
"90265","SCE_2020/12/04",2336,2020-12-07 05:29:00,2020-12-11 11:45:00,102.266666666667,14015.2411020604,0.166675691341234,389.354414973122
"90265","SCE_2021/01/12",3050.4650223269,2021-01-14 04:13:00,2021-01-21 18:01:00,181.8,14015.2411020604,0.217653410320458,663.944115172721
"90265","SCE_2021/11/21",1129,2021-11-21 05:41:00,2021-11-22 13:45:00,32.0666666666667,14015.2411020604,0.0805551607552453,90.946776492672
"90265","SCE_2021/11/24",6699.37779160656,2021-11-24 11:58:00,2021-11-26 19:48:00,55.8333333333333,14015.2411020604,0.478006603155878,3202.34682142378
"90290","SCE_2021/11/24",1359.68356966841,2021-11-24 11:58:00,2021-11-26 19:48:00,55.8333333333333,5947.40279138662,0.228618040069117,310.848192811772
"91011","SCE_2021/11/24",7.47277053128609,2021-11-24 11:58:00,2021-11-26 19:48:00,55.8333333333333,20501.0112121796,0.000364507411558634,0.00272388024353073
"91020","SCE_2021/11/24",7.23253766562803,2021-11-24 11:58:00,2021-11-26 19:48:00,55.8333333333333,7980.03877412155,0.000906328637033997,0.0065550560047857
"91040","SCE_2021/11/24",3.71728442080865,2021-11-24 11:58:00,2021-11-26 19:48:00,55.8333333333333,1443.26061713515,0.00257561550330903,0.00957429538444389
"91042","SCE_2019/10/02",0.113980767176743,2019-10-09 13:35:00,2019-10-12 14:23:00,72.8,4118.06725306483,2.76782189732123e-05,3.15478463265263e-06
"91042","SCE_2019/10/21",31.430196548987,2019-10-23 23:47:00,2019-10-28 19:02:00,115.25,4118.06725306483,0.0076322688818633,0.23988371107168
"91042","SCE_2019/10/27",42.5005785610281,2019-10-27 03:57:00,2019-11-03 17:28:00,182.516666666667,4118.06725306483,0.0103205158996365,0.438627896782843
"91042","SCE_2020/09/05",0.128228363073836,2020-09-09 02:37:00,2020-09-11 10:00:00,55.3833333333333,4118.06725306483,3.11379963448639e-05,3.99277430070099e-06
"91042","SCE_2020/10/23",2.02315861738719,2020-10-26 06:39:00,2020-10-28 15:02:00,56.3833333333333,4118.06725306483,0.000491288386774519,0.00099395433332512
"91042","SCE_2020/11/14",0.128228363073836,2020-11-16 09:31:00,2020-11-18 21:55:00,60.4,4118.06725306483,3.11379963448639e-05,3.99277430070099e-06
"91042","SCE_2020/11/24",2.02315861738719,2020-11-26 08:08:00,2020-11-28 14:13:00,54.0833333333333,4118.06725306483,0.000491288386774519,0.00099395433332512
"91042","SCE_2020/11/29",1.89493025431336,2020-12-02 17:20:50,2020-12-04 18:30:00,49.1527777777778,4118.06725306483,0.000460150390429655,0.000871952896359256
"91042","SCE_2020/12/04",31.3304633777073,2020-12-07 05:29:00,2020-12-11 11:45:00,102.266666666667,4118.06725306483,0.00760805044026173,0.23836374569437
"91042","SCE_2020/12/16",0.997331712796504,2020-12-18 09:47:00,2020-12-24 16:03:00,150.266666666667,4118.06725306483,0.000242184416015608,0.000241538198437467
"91042","SCE_2021/01/12",10.1727834705243,2021-01-14 04:13:00,2021-01-21 18:01:00,181.8,4118.06725306483,0.0024702810433592,0.0251296341654341
"91042","SCE_2021/09/30",0.128228363073836,2021-09-30 06:02:00,2021-09-30 15:51:00,9.81666666666667,4118.06725306483,3.11379963448639e-05,3.99277430070099e-06
"91042","SCE_2021/10/15",0.128228363073836,2021-10-15 06:41:00,2021-10-16 08:57:00,26.2666666666667,4118.06725306483,3.11379963448639e-05,3.99277430070099e-06
"91042","SCE_2021/11/21",0.128228363073836,2021-11-21 05:41:00,2021-11-22 13:45:00,32.0666666666667,4118.06725306483,3.11379963448639e-05,3.99277430070099e-06
"91042","SCE_2021/11/24",30.7155868092516,2021-11-24 11:58:00,2021-11-26 19:48:00,55.8333333333333,4118.06725306483,0.00745873851049708,0.229099530206681
"91107","SCE_2020/10/23",53,2020-10-26 06:39:00,2020-10-28 15:02:00,56.3833333333333,13770.8476488746,0.00384871006864499,0.203981633638185
"91208","SCE_2021/11/24",0.314555982156984,2021-11-24 11:58:00,2021-11-26 19:48:00,55.8333333333333,619.589004443832,0.000507684900637225,0.000159695322546213
"91214","SCE_2021/11/24",28.5144518504116,2021-11-24 11:58:00,2021-11-26 19:48:00,55.8333333333333,18612.0794433402,0.00153204008919136,0.0436852833561473
"91301","SCE_2021/01/12",28.9605694345979,2021-01-14 04:13:00,2021-01-21 18:01:00,181.8,24163.6956348693,0.00119851573501888,0.0347096981624724
"91301","SCE_2021/11/24",2555.71073160964,2021-11-24 11:58:00,2021-11-26 19:48:00,55.8333333333333,24163.6956348693,0.10576655037492,270.308707838516
"91302","SCE_2021/01/12",119.574408238499,2021-01-14 04:13:00,2021-01-21 18:01:00,181.8,24794.4397483544,0.00482262997075523,0.576663124906306
"91302","SCE_2021/11/24",2986.53362389085,2021-11-24 11:58:00,2021-11-26 19:48:00,55.8333333333333,24794.4397483544,0.120451748625982,359.733197327943
"91304","SCE_2019/10/02",87.5821266988004,2019-10-09 13:35:00,2019-10-12 14:23:00,72.8,532.511064049322,0.164470060082523,14.4046376403069
"91304","SCE_2019/10/21",253.637838919726,2019-10-23 23:47:00,2019-10-28 19:02:00,115.25,532.511064049322,0.476305293998987,120.809045435928
